iter	Accuracy	Logloss
183	0.875249501	0.5046969075
184	0.874251497	0.5041526136
185	0.877245509	0.5034120835
186	0.878243513	0.5025204831
187	0.880239521	0.501718765
188	0.880239521	0.5012018247
189	0.881237525	0.5003020439
190	0.8842315369	0.4995910668
191	0.8822355289	0.4986691551
192	0.8822355289	0.4978306031
193	0.881237525	0.4973248167
194	0.8832335329	0.4969211635
195	0.8852295409	0.4964928696
196	0.8862275449	0.4954268338
197	0.8832335329	0.4945157262
198	0.8852295409	0.4940471598
199	0.8842315369	0.4930869155
200	0.8842315369	0.4924727151
201	0.8852295409	0.4920081489
202	0.8842315369	0.491452618
203	0.8852295409	0.4910554893
204	0.8872255489	0.4900399633
205	0.8842315369	0.4891091576
206	0.8832335329	0.4886798065
207	0.8822355289	0.4881706352
208	0.8862275449	0.486879844
209	0.8842315369	0.4862685217
210	0.8842315369	0.4859113784
211	0.8882235529	0.485198239
212	0.8872255489	0.4846767361
213	0.8872255489	0.4836661404
214	0.8882235529	0.482690637
215	0.8872255489	0.4817945214
216	0.8872255489	0.4812525342
217	0.8882235529	0.4804139569
218	0.8892215569	0.4795641767
219	0.8862275449	0.4786121084
220	0.8892215569	0.4778389816
221	0.8892215569	0.4770443727
222	0.8922155689	0.476096097
223	0.8922155689	0.4752085353
224	0.8922155689	0.4745645932
225	0.8942115768	0.4734921976
226	0.8942115768	0.4730336358
227	0.8942115768	0.4725485846
228	0.8942115768	0.472258458
229	0.8942115768	0.4715382903
230	0.8952095808	0.4704121557
231	0.8972055888	0.4692107507
232	0.8992015968	0.4683322353
233	0.8992015968	0.4676425604
234	0.8982035928	0.4668661207
235	0.9001996008	0.466057101
236	0.9001996008	0.4658819304
237	0.9001996008	0.4651500201
238	0.8992015968	0.4642365087
239	0.9011976048	0.4632826833
240	0.9031936128	0.4623714612
241	0.9031936128	0.4618788992
242	0.9041916168	0.4612340992
243	0.9041916168	0.4603398942
244	0.9031936128	0.4596681745
245	0.9041916168	0.4584784921
246	0.9041916168	0.4574732236
247	0.9061876248	0.4568662
248	0.9071856287	0.456087869
249	0.9081836327	0.4553928813
250	0.9091816367	0.4545504455
251	0.9081836327	0.4537235134
252	0.9081836327	0.4531712326
253	0.9091816367	0.4519468859
254	0.9111776447	0.451265969
255	0.9141716567	0.4506129313
256	0.9151696607	0.4502362836
257	0.9151696607	0.4494913976
258	0.9151696607	0.4486298692
259	0.9181636727	0.4476915382
260	0.9201596806	0.4467844747
261	0.9201596806	0.4462919811
262	0.9201596806	0.4457981454
263	0.9191616766	0.4449818719
264	0.9211576846	0.4445630639
265	0.9201596806	0.4436282252
266	0.9211576846	0.4428649542
267	0.9211576846	0.4421952904
268	0.9211576846	0.4414338806
269	0.9231536926	0.4407979804
270	0.9201596806	0.440274487
271	0.9191616766	0.4398037627
272	0.9191616766	0.4390603322
273	0.9211576846	0.4381750224
274	0.9201596806	0.4372937883
275	0.9221556886	0.4366185325
276	0.9231536926	0.4357538794
277	0.9231536926	0.4351454464
278	0.9231536926	0.4346517462
279	0.9241516966	0.4337283976
280	0.9241516966	0.4326839102
281	0.9251497006	0.4321491451
282	0.9251497006	0.4318498996
283	0.9251497006	0.4310881797
284	0.9251497006	0.4304175399
285	0.9251497006	0.4296490676
286	0.9251497006	0.4291217817
287	0.9251497006	0.4285248059
288	0.9261477046	0.4278731437
289	0.9261477046	0.4272548774
290	0.9261477046	0.4268360734
291	0.9261477046	0.4264226352
292	0.9261477046	0.4253340182
293	0.9271457086	0.4247181682
294	0.9271457086	0.4242901508
295	0.9271457086	0.423734082
296	0.9301397206	0.4226851217
297	0.9321357285	0.4217593597
298	0.9321357285	0.4211262588
299	0.9341317365	0.4203615161
300	0.9341317365	0.419723166
301	0.9351297405	0.4194153606
302	0.9331337325	0.4189386363
303	0.9331337325	0.418109775
304	0.9351297405	0.4176500083
305	0.9351297405	0.4170688636
306	0.9361277445	0.4164139018
307	0.9361277445	0.4158393941
308	0.9391217565	0.4150997436
309	0.9401197605	0.414598881
310	0.9401197605	0.4140849819
311	0.9401197605	0.4136099821
312	0.9401197605	0.4131600423
313	0.9401197605	0.4124502296
314	0.9411177645	0.4120696432
315	0.9421157685	0.4116452705
316	0.9411177645	0.410902358
317	0.9401197605	0.4102551553
318	0.9401197605	0.4098125526
319	0.9401197605	0.4093197441
320	0.9401197605	0.4089835563
321	0.9401197605	0.4083703682
322	0.9411177645	0.4070533252
323	0.9401197605	0.4064715633
324	0.9411177645	0.4060385059
325	0.9401197605	0.4052865962
326	0.9401197605	0.4051254455
327	0.9401197605	0.4049995001
328	0.9401197605	0.4047842913
329	0.9401197605	0.4042739393
330	0.9401197605	0.4037835468
331	0.9401197605	0.4032386978
332	0.9401197605	0.4027518456
333	0.9391217565	0.4021411372
334	0.9391217565	0.4015363409
335	0.9391217565	0.4012306793
336	0.9391217565	0.4010286764
337	0.9391217565	0.4001960914
338	0.9401197605	0.3993655345
339	0.9401197605	0.3988569819
340	0.9411177645	0.3983594802
341	0.9411177645	0.3978037522
342	0.9411177645	0.3973096721
343	0.9401197605	0.3969065179
344	0.9401197605	0.3960309096
345	0.9401197605	0.3957170895
346	0.9411177645	0.3952035548
347	0.9411177645	0.3947073815
348	0.9421157685	0.3941211855
349	0.9411177645	0.3933630303
350	0.9401197605	0.3921698124
351	0.9411177645	0.391703871
352	0.9411177645	0.3912388537
353	0.9411177645	0.3905447103
354	0.9421157685	0.3895254992
355	0.9431137725	0.3886271998
356	0.9451097804	0.3878391189
357	0.9451097804	0.3874264185
358	0.9451097804	0.3872438606
359	0.9451097804	0.3866182849
360	0.9451097804	0.3861728634
361	0.9451097804	0.3857764553
362	0.9451097804	0.3855611522
363	0.9451097804	0.3853870217
364	0.9441117764	0.3848576791
365	0.9451097804	0.3839672476
366	0.9461077844	0.3834311647
367	0.9461077844	0.3825693397
368	0.9461077844	0.3821496845
369	0.9461077844	0.3815711081
370	0.9461077844	0.3812151395
371	0.9471057884	0.3806302511
372	0.9471057884	0.3803356421
373	0.9471057884	0.3798552466
374	0.9471057884	0.3791447688
375	0.9471057884	0.3789286248
376	0.9481037924	0.3781245097
377	0.9481037924	0.377708212
378	0.9481037924	0.377412415
379	0.9500998004	0.376349335
380	0.9500998004	0.3753800658
381	0.9500998004	0.3748327314
382	0.9500998004	0.3744736523
383	0.9500998004	0.3742569832
384	0.9510978044	0.373564752
385	0.9510978044	0.3734904127
386	0.9510978044	0.3731860141
387	0.9510978044	0.3730507733
388	0.9510978044	0.3727951016
389	0.9510978044	0.3724698325
390	0.9520958084	0.3721531786
391	0.9520958084	0.3717111738
392	0.9520958084	0.37137621
393	0.9520958084	0.3708232646
394	0.9520958084	0.3705908725
395	0.9520958084	0.3698410074
396	0.9540918164	0.3689943742
397	0.9540918164	0.368577982
398	0.9540918164	0.3680733653
399	0.9540918164	0.3669838419
400	0.9540918164	0.366396322
401	0.9540918164	0.3660705294
402	0.9540918164	0.3657461164
403	0.9540918164	0.3654984073
404	0.9540918164	0.3648184272
405	0.9550898204	0.3642702027
406	0.9550898204	0.3636784034
407	0.9550898204	0.3634263714
408	0.9550898204	0.3630526116
409	0.9560878244	0.3627425049
410	0.9560878244	0.36223292
411	0.9550898204	0.3616158464
412	0.9540918164	0.3611196088
413	0.9540918164	0.360666138
414	0.9530938124	0.3600313772
415	0.9550898204	0.3597878221
416	0.9550898204	0.3594319485
417	0.9550898204	0.358659337
418	0.9550898204	0.3583012658
419	0.9560878244	0.3575950827
420	0.9560878244	0.3570310037
421	0.9560878244	0.3565302412
422	0.9560878244	0.3562911887
423	0.9560878244	0.3558161467
424	0.9560878244	0.3554995319
425	0.9560878244	0.3548101247
426	0.9550898204	0.3545060232
427	0.9550898204	0.353788227
428	0.9570858283	0.3530340053
429	0.9570858283	0.3523305598
430	0.9580838323	0.3514882262
431	0.9580838323	0.3510578939
432	0.9590818363	0.3502863206
433	0.9590818363	0.3501322972
434	0.9590818363	0.3498553515
435	0.9620758483	0.3489052051
436	0.9620758483	0.3486128353
437	0.9620758483	0.3483322005
438	0.9610778443	0.3474536599
439	0.9610778443	0.3466513948
440	0.9610778443	0.3464856816
441	0.9620758483	0.3461968316
442	0.9620758483	0.3456590794
443	0.9620758483	0.345428462
444	0.9620758483	0.3449527938
445	0.9620758483	0.3444091758
446	0.9620758483	0.3438991737
447	0.9620758483	0.343021666
448	0.9640718563	0.3424152816
449	0.9640718563	0.3420449455
450	0.9640718563	0.341857339
451	0.9640718563	0.3410740056
452	0.9630738523	0.3406080832
453	0.9630738523	0.3399303236
454	0.9630738523	0.3392727691
455	0.9630738523	0.3389026839
456	0.9630738523	0.338830942
457	0.9630738523	0.3386291912
458	0.9630738523	0.3382462894
459	0.9630738523	0.3379995896
460	0.9630738523	0.3376301425
461	0.9630738523	0.3372804702
462	0.9640718563	0.3365788193
463	0.9630738523	0.3361602184
464	0.9630738523	0.3358796259
465	0.9630738523	0.3357257072
466	0.9630738523	0.3355764726
467	0.9630738523	0.335383518
468	0.9630738523	0.3350396443
469	0.9640718563	0.3347920776
470	0.9640718563	0.3338091744
471	0.9640718563	0.3334535819
472	0.9640718563	0.3329562337
473	0.9640718563	0.3326459311
474	0.9640718563	0.3323282782
475	0.9640718563	0.3316982962
476	0.9650698603	0.3312060018
477	0.9650698603	0.3306127882
478	0.9650698603	0.3303575123
479	0.9660678643	0.3294751287
480	0.9680638723	0.3283714714
481	0.9690618762	0.3278597628
482	0.9690618762	0.3276567067
483	0.9690618762	0.3269855069
484	0.9690618762	0.3268408398
485	0.9690618762	0.3265208605
486	0.9690618762	0.3263142286
487	0.9700598802	0.3257707417
488	0.9700598802	0.3254741171
489	0.9700598802	0.3251702209
490	0.9700598802	0.3248293143
491	0.9710578842	0.324127394
492	0.9720558882	0.323222862
493	0.9720558882	0.3229276957
494	0.9710578842	0.3225477676
495	0.9720558882	0.3220571195
496	0.9710578842	0.3216003313
497	0.9710578842	0.3212641803
498	0.9710578842	0.320613191
499	0.9720558882	0.3201901197
500	0.9720558882	0.319794913
501	0.9720558882	0.3193215085
502	0.9720558882	0.3187711498
503	0.9720558882	0.3181438127
504	0.9720558882	0.3179283955
505	0.9720558882	0.3176358763
506	0.9720558882	0.3174777867
507	0.9720558882	0.3173103201
508	0.9720558882	0.3166100055
509	0.9720558882	0.3161784563
510	0.9720558882	0.3160479195
511	0.9720558882	0.3158360289
512	0.9720558882	0.3153503486
513	0.9720558882	0.3146794769
514	0.9720558882	0.3140311578
515	0.9720558882	0.3137940512
516	0.9720558882	0.3136574572
517	0.9730538922	0.3131185177
518	0.9730538922	0.3127798754
519	0.9730538922	0.3125674641
520	0.9730538922	0.3124571395
521	0.9730538922	0.3121164545
522	0.9730538922	0.3118712137
523	0.9730538922	0.3116840366
524	0.9730538922	0.3113884462
525	0.9730538922	0.3107894071
526	0.9740518962	0.3104080585
527	0.9740518962	0.3102893887
528	0.9740518962	0.3096539244
529	0.9740518962	0.3094140443
530	0.9740518962	0.3090781528
531	0.9740518962	0.308213118
532	0.9740518962	0.3079197002
533	0.9740518962	0.3077930995
534	0.9740518962	0.307465844
535	0.9740518962	0.306809608
536	0.9740518962	0.3067253625
537	0.9740518962	0.3065140863
538	0.9740518962	0.3062719889
539	0.9740518962	0.3057739101
540	0.9740518962	0.305090018
541	0.9740518962	0.3046765171
542	0.9740518962	0.304617845
543	0.9740518962	0.3045041661
544	0.9740518962	0.3041399989
545	0.9740518962	0.3039106576
546	0.9740518962	0.303597866
547	0.9740518962	0.3028719926
548	0.9740518962	0.3024573075
549	0.9740518962	0.3022911826
550	0.9740518962	0.3018018985
551	0.9740518962	0.3011472681
552	0.9740518962	0.3008390328
553	0.9740518962	0.3007831547
554	0.9740518962	0.3005010476
555	0.9740518962	0.3003225793
556	0.9740518962	0.3000185494
557	0.9740518962	0.2995001227
558	0.9740518962	0.2991036781
559	0.9740518962	0.298980107
560	0.9740518962	0.2982511283
561	0.9740518962	0.2980767581
562	0.9740518962	0.2976361352
563	0.9740518962	0.2969929131
564	0.9740518962	0.2967912575
565	0.9740518962	0.2958201471
566	0.9760479042	0.295378185
567	0.9760479042	0.29486905
568	0.9760479042	0.2944182021
569	0.9760479042	0.2941591567
570	0.9760479042	0.2938000431
571	0.9760479042	0.2929920613
572	0.9760479042	0.292696358
573	0.9760479042	0.2918909246
574	0.9760479042	0.2917997562
575	0.9760479042	0.2915383531
576	0.9760479042	0.2910474046
577	0.9760479042	0.2904960279
578	0.9760479042	0.2900113076
579	0.9760479042	0.2898572606
580	0.9760479042	0.2894470694
581	0.9760479042	0.2889120076
582	0.9760479042	0.2886268549
583	0.9760479042	0.2884123192
584	0.9760479042	0.2883456074
585	0.9760479042	0.2881963717
586	0.9770459082	0.2873859909
587	0.9770459082	0.2869279789
588	0.9770459082	0.2866733883
589	0.9780439122	0.2860311074
590	0.9780439122	0.2857125964
591	0.9780439122	0.2854819543
592	0.9780439122	0.2852504518
593	0.9780439122	0.2851411106
594	0.9780439122	0.2847324299
595	0.9780439122	0.284324767
596	0.9790419162	0.283769968
597	0.9790419162	0.2831001133
598	0.9790419162	0.28258124
599	0.9790419162	0.2820164683
600	0.9790419162	0.2817568082
601	0.9790419162	0.2812312672
602	0.9790419162	0.2810278822
603	0.9790419162	0.2806104539
604	0.9790419162	0.2801856058
605	0.9790419162	0.2798401251
606	0.9780439122	0.2795891804
607	0.9780439122	0.2793847665
608	0.9780439122	0.2791887978
609	0.9790419162	0.2783289841
610	0.9790419162	0.2780013199
611	0.9790419162	0.2778356104
612	0.9790419162	0.277462973
613	0.9790419162	0.2773797874
614	0.9790419162	0.2771575149
615	0.9780439122	0.2768586202
616	0.9780439122	0.2762060044
617	0.9780439122	0.276041787
618	0.9780439122	0.2759561417
619	0.9780439122	0.2756696753
620	0.9790419162	0.2751750749
621	0.9790419162	0.2748885987
622	0.9790419162	0.2745979491
623	0.9780439122	0.2741451382
624	0.9780439122	0.2740114749
625	0.9780439122	0.2735753442
626	0.9780439122	0.2731859564
627	0.9780439122	0.2727192738
628	0.9780439122	0.2726998916
629	0.9790419162	0.272161181
630	0.9790419162	0.2720117485
631	0.9790419162	0.2716408125
632	0.9800399202	0.2714425727
633	0.9800399202	0.2712877728
634	0.9810379242	0.2706566773
635	0.9810379242	0.2704880411
636	0.9810379242	0.2701321178
637	0.9810379242	0.2699944651
638	0.9810379242	0.2692987464
639	0.9810379242	0.2689592125
640	0.9820359281	0.2679845621
641	0.9820359281	0.267329533
642	0.9810379242	0.2672415585
643	0.9820359281	0.2670127563
644	0.9840319361	0.2664940617
645	0.9840319361	0.2664327569
646	0.9840319361	0.2663745358
647	0.9840319361	0.2661467423
648	0.9840319361	0.2660196787
649	0.9850299401	0.2657129937
650	0.9840319361	0.2652747591
651	0.9840319361	0.2645599172
652	0.9840319361	0.2639233323
653	0.9840319361	0.2635839041
654	0.9840319361	0.2630926046
655	0.9840319361	0.2626948589
656	0.9850299401	0.2621240711
657	0.9850299401	0.2620415217
658	0.9850299401	0.2619508109
659	0.9850299401	0.2618284143
660	0.9850299401	0.2615746318
661	0.9850299401	0.2614890034
662	0.9850299401	0.260908622
663	0.9850299401	0.2606726934
664	0.9850299401	0.260073879
665	0.9850299401	0.2596745328
666	0.9850299401	0.2591421598
667	0.9850299401	0.258997289
668	0.9850299401	0.2584658922
669	0.9850299401	0.2581376781
670	0.9850299401	0.2575496612
671	0.9840319361	0.2566911621
672	0.9850299401	0.2561101317
673	0.9880239521	0.2554956278
674	0.9880239521	0.2548899411
675	0.9880239521	0.2545344521
676	0.9880239521	0.2543352088
677	0.9880239521	0.2539180601
678	0.9880239521	0.2533696944
679	0.9880239521	0.2532327977
680	0.9880239521	0.2527961408
681	0.9880239521	0.2526486254
682	0.9880239521	0.2523596374
683	0.9880239521	0.2519521589
684	0.9880239521	0.2514822304
685	0.9880239521	0.2514239819
686	0.9890219561	0.2509994509
687	0.9890219561	0.2508318539
688	0.9900199601	0.2501744202
689	0.9900199601	0.2499049026
690	0.9900199601	0.249363614
691	0.9900199601	0.2492752953
692	0.9900199601	0.248645663
693	0.9900199601	0.2484062549
694	0.9900199601	0.2477333264
695	0.9900199601	0.2475703865
696	0.9910179641	0.2472889312
697	0.9910179641	0.247112177
698	0.9910179641	0.2469140844
699	0.9910179641	0.2466799519
700	0.9910179641	0.2464826121
701	0.9910179641	0.246172864
702	0.9910179641	0.2460168257
703	0.9910179641	0.2458787863
704	0.9910179641	0.2457054774
705	0.9910179641	0.2455366827
706	0.9900199601	0.2451973577
707	0.9900199601	0.2451210417
708	0.9900199601	0.2450568346
709	0.9900199601	0.2448031084
710	0.9900199601	0.2444870242
711	0.9900199601	0.2440029575
712	0.9900199601	0.2434968508
713	0.9900199601	0.2433341867
714	0.9910179641	0.242703683
715	0.9910179641	0.2421983839
716	0.9920159681	0.2417893364
717	0.9920159681	0.2416850265
718	0.9920159681	0.2415663118
719	0.9920159681	0.2415176551
720	0.9920159681	0.2413468026
721	0.9920159681	0.2412045757
722	0.9920159681	0.2410057189
723	0.9920159681	0.2408206536
724	0.9920159681	0.2406086009
725	0.9920159681	0.2401171038
726	0.9920159681	0.2396151099
727	0.9920159681	0.2395203697
728	0.9920159681	0.2391421196
729	0.9930139721	0.238633901
730	0.9930139721	0.238074342
731	0.9930139721	0.2379828761
732	0.9930139721	0.2376189001
733	0.9930139721	0.2375041984
734	0.994011976	0.2370528363
735	0.994011976	0.236836127
736	0.99500998	0.2363118624
737	0.99500998	0.2361799507
738	0.99500998	0.2358579707
739	0.99500998	0.2356247668
740	0.99500998	0.2355678087
741	0.99500998	0.2351924709
742	0.99500998	0.234987312
743	0.994011976	0.2345674402
744	0.99500998	0.2344025363
745	0.994011976	0.2340872267
746	0.994011976	0.2337833928
747	0.99500998	0.2332574332
748	0.99500998	0.2326728392
749	0.994011976	0.2319731424
750	0.994011976	0.2312544657
751	0.994011976	0.2309599681
752	0.994011976	0.2306726067
753	0.994011976	0.2305798087
754	0.994011976	0.2304658071
755	0.994011976	0.2297841035
756	0.994011976	0.2294993809
757	0.994011976	0.2290507356
758	0.994011976	0.2289496254
759	0.994011976	0.228870638
760	0.994011976	0.2287130693
761	0.99500998	0.228258057
762	0.99500998	0.2281620481
763	0.99500998	0.2278594938
764	0.99500998	0.2272766327
765	0.99500998	0.2267263352
766	0.99500998	0.2264184416
767	0.99500998	0.2262751942
768	0.99500998	0.2260891932
769	0.99500998	0.2259609797
770	0.99500998	0.2259208276
771	0.99500998	0.2256392289
772	0.99500998	0.2255255628
773	0.996007984	0.2249281227
774	0.99500998	0.2244823017
775	0.99500998	0.2243809364
776	0.99500998	0.2239007137
777	0.99500998	0.2237584978
778	0.99500998	0.2232178656
779	0.99500998	0.2231151119
780	0.99500998	0.2229417909
781	0.994011976	0.2224117043
782	0.994011976	0.2221110789
783	0.994011976	0.22192534
784	0.994011976	0.2218082102
785	0.994011976	0.2215649171
786	0.994011976	0.2214333529
787	0.994011976	0.2212892757
788	0.994011976	0.2208419416
789	0.994011976	0.2206386852
790	0.994011976	0.2202820904
791	0.994011976	0.220052323
792	0.994011976	0.2198586249
793	0.994011976	0.2196526191
794	0.994011976	0.2193309938
795	0.994011976	0.2191503943
796	0.994011976	0.2188051968
797	0.994011976	0.2186745583
798	0.994011976	0.2183641993
799	0.994011976	0.2182529297
800	0.994011976	0.2178205461
801	0.994011976	0.2173818748
802	0.994011976	0.2172897865
803	0.994011976	0.2169284301
804	0.994011976	0.2168869629
805	0.994011976	0.2168396286
806	0.994011976	0.2166859868
807	0.994011976	0.2164673659
808	0.994011976	0.2164023738
809	0.994011976	0.2162219568
810	0.994011976	0.2157448302
811	0.994011976	0.2156346082
812	0.994011976	0.2151985746
813	0.994011976	0.2150565705
814	0.994011976	0.2148224086
815	0.994011976	0.2146144428
816	0.99500998	0.2142711372
817	0.99500998	0.2141628046
818	0.99500998	0.213843001
819	0.99500998	0.2137964867
820	0.99500998	0.2135210012
821	0.99500998	0.2133846144
822	0.99500998	0.2132280287
823	0.99500998	0.2129365325
824	0.99500998	0.2122722582
825	0.99500998	0.2122136534
826	0.99500998	0.2121252145
827	0.99500998	0.2120321673
828	0.99500998	0.2116783426
829	0.99500998	0.2113713595
830	0.99500998	0.2113023153
831	0.99500998	0.2108432435
832	0.99500998	0.2106231023
833	0.99500998	0.2103860617
834	0.99500998	0.210196777
835	0.99500998	0.209862789
836	0.99500998	0.2096939315
837	0.99500998	0.2094349306
838	0.99500998	0.2093541141
839	0.99500998	0.2091837572
840	0.99500998	0.2089393171
841	0.99500998	0.2084382817
842	0.99500998	0.2082415376
843	0.99500998	0.2078269668
844	0.99500998	0.2076190861
845	0.99500998	0.2075165018
846	0.99500998	0.2073459923
847	0.99500998	0.2071673869
848	0.99500998	0.2069475186
849	0.99500998	0.2066917902
850	0.99500998	0.2065007518
851	0.99500998	0.2064604447
852	0.99500998	0.2062508934
853	0.99500998	0.206149011
854	0.99500998	0.2060587961
855	0.99500998	0.205631945
856	0.99500998	0.2055017871
857	0.99500998	0.2048925246
858	0.99500998	0.2048228692
859	0.99500998	0.2047299773
860	0.99500998	0.2044901033
861	0.99500998	0.2043930659
862	0.99500998	0.2042033949
863	0.99500998	0.2040580001
864	0.99500998	0.2037893553
865	0.99500998	0.2036057602
866	0.99500998	0.2034276651
867	0.99500998	0.2030652336
868	0.99500998	0.2029122088
869	0.99500998	0.2028040678
870	0.99500998	0.2026142497
871	0.99500998	0.2025013376
872	0.99500998	0.2024401368
873	0.99500998	0.2019062775
874	0.99500998	0.2014832535
875	0.99500998	0.2010440141
876	0.99500998	0.2009754001
877	0.996007984	0.2006054914
878	0.996007984	0.2004977348
879	0.996007984	0.2002538813
880	0.997005988	0.1998239053
881	0.997005988	0.1997761743
882	0.997005988	0.1996427168
883	0.997005988	0.1995922536
884	0.997005988	0.1995202693
885	0.997005988	0.199348907
886	0.997005988	0.1992255895
887	0.996007984	0.1990827566
888	0.996007984	0.1988638471
